Id;Point;P;K;Ca;Mg;S;Cu;Zn;Mn;Na;Cd;Cr;Ni;Pb;Al;As;Ba;Categoria
1;point 1;0,031333333;0,21;0,1;0,19;0,02;14,75;39,22;153,8;167,8;0,246;17,97;15,72;10,19;2,529;10,42;0,1459;Solo rizosferico
2;point 1;0,032666667;0,15;0,13;0,14;0,02;10,6;32,2;127,9;124,7;0,225;10,38;10,95;9,158;1,779;5,506;0,1112;Solo rizosferico
3;point 1;;;;;;;;;;;;;;;;;Solo rizosferico
4;point 1;0,031666667;0,15;0,43;0,16;0,02;7,094;22,04;295,8;145,7;< 0,2;8,584;8,533;5,607;2,297;< 2;0,1617;Solo rizosferico
6;point 2;0,063333333;0,6;0,3;0,45;0,08;31,6;70,4;408,1;543,8;0,57;12,96;29,87;18,11;7,712;16,92;0,3738;Solo rizosferico
7;point 2;0,059333333;0,48;0,34;0,4;0,13;33,3;64,52;404,5;644;0,504;33,84;28,59;17,75;7,341;15,98;0,3486;Solo rizosferico
8;point 2;0,040666667;0,45;0,23;0,37;0,03;26,98;63,42;354,6;412,3;0,426;28,56;27,76;15,92;6,073;14,15;0,3182;Solo rizosferico
9;point 2;0,047666667;0,43;0,36;0,35;0,12;25,66;62,01;315,6;625,1;0,38;53,34;25,22;17,06;5,807;13,6;0,2836;Solo rizosferico
10;point 3;0,050333333;0,29;0,36;0,4;0,02;27,67;52,08;292,9;377,3;0,287;33,88;28,68;12,24;5,469;2,415;0,2381;Solo rizosferico
11;point 3;0,048333333;0,27;0,37;0,41;0,02;29,92;55,63;344,1;394,4;0,27;46,75;30,4;14,73;5,702;3,64;0,2497;Solo rizosferico
12;point 3;0,065333333;0,35;0,47;0,46;0,05;31,68;60,24;356,3;569;0,279;28,79;30,69;13,15;5,75;2,997;0,2747;Solo rizosferico
13;point 4;0,039333333;0,26;0,74;0,28;0,09;7,873;32,58;484;245,4;< 0,2;12,25;12,05;6,392;2,865;2;0,2047;Solo rizosferico
14;point 4;0,0365;0,18;0,685;0,225;0,01;5,5045;24,135;374,45;192,8;< 0,2;7,3715;8,7925;7,4985;2,608;2;0,19585;Solo rizosferico
